Temperature

16:12:18.227 -> Humidity: 36.00 %, Temp: 26.30 Celsius
16:12:20.248 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:12:22.270 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:12:24.306 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:12:26.347 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:12:28.360 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:12:30.381 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:12:32.417 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:12:34.427 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:12:36.446 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:12:38.507 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:12:40.515 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:12:42.536 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:12:44.585 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:12:46.587 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:12:48.632 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:12:50.648 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:12:52.695 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:12:54.710 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:12:56.717 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:12:58.771 -> Humidity: 36.00 %, Temp: 26.00 Celsius
16:13:00.793 -> Humidity: 36.00 %, Temp: 26.00 Celsius
16:13:02.804 -> Humidity: 36.00 %, Temp: 26.00 Celsius
16:13:04.855 -> Humidity: 37.00 %, Temp: 26.00 Celsius
16:13:06.879 -> Humidity: 35.00 %, Temp: 25.90 Celsius
16:13:08.903 -> Humidity: 36.00 %, Temp: 25.90 Celsius
16:13:10.930 -> Humidity: 36.00 %, Temp: 25.90 Celsius
16:13:12.933 -> Humidity: 36.00 %, Temp: 25.90 Celsius
16:13:14.967 -> Humidity: 35.00 %, Temp: 25.90 Celsius
16:13:17.003 -> Humidity: 36.00 %, Temp: 25.90 Celsius
16:13:19.027 -> Humidity: 35.00 %, Temp: 25.90 Celsius
16:13:21.063 -> Humidity: 36.00 %, Temp: 25.90 Celsius
16:13:23.078 -> Humidity: 36.00 %, Temp: 25.90 Celsius
16:13:25.117 -> Humidity: 36.00 %, Temp: 25.90 Celsius
16:13:27.120 -> Humidity: 36.00 %, Temp: 25.90 Celsius
16:13:29.169 -> Humidity: 36.00 %, Temp: 25.90 Celsius
16:13:31.200 -> Humidity: 36.00 %, Temp: 25.90 Celsius
16:13:33.200 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:13:35.247 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:13:37.279 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:13:39.290 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:13:41.324 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:13:43.361 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:13:45.372 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:13:47.397 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:13:49.439 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:13:51.446 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:13:53.480 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:13:55.523 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:13:57.537 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:13:59.552 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:14:01.596 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:14:03.606 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:14:05.635 -> Humidity: 36.00 %, Temp: 25.80 Celsius
